Experiment,Cox - C-Index,Cox - MAE,Cox - MSE,Cox - R2,RNN - C-Index,RNN - MAE,RNN - MSE,RNN - R2,LSTM - C-Index,LSTM - MAE,LSTM - MSE,LSTM - R2,BiLSTM - C-Index,BiLSTM - MAE,BiLSTM - MSE,BiLSTM - R2
Experiment 1,0.7820326012170707,69.90111648712323,8033.100895218572,0.06984135632842214,0.9952541878033648,1.4285775382850527,6.697612945394671,0.9993937697884872,0.9981556228685895,0.885400316999116,5.007428553820274,0.9995467557626774,0.9963253571443054,1.3031792541910756,6.910742039699523,0.9993744785429385
Experiment 2,0.7951937623647155,69.68133675861262,7784.006551933067,0.10163561529830811,0.9903367362444039,2.043972823489785,13.3929574667026,0.9986236506239731,0.9977387366546207,0.7425319821224766,2.0676687184320346,0.999787512611944,0.9964465362121251,1.0817676274403552,4.843126541457054,0.9995022881085133
Experiment 3,0.7833319541989471,71.16362791230158,8388.725128065911,0.07490762546245866,0.9912581323568342,1.8700355227062453,12.418612778115692,0.9987205092087139,0.9949390452217458,1.2435922186703874,32.655837711157375,0.9966354661040088,0.995575546803479,1.1222977671341745,16.428771415346194,0.9983073422037023
Experiment 4,0.7903257371394481,70.2961228074764,8090.009022088131,0.10298154411111704,0.9936001731758922,1.697564068670931,7.919483354121854,0.9992055900299411,0.997710987370876,0.7488145184254209,1.974612877527892,0.999801924937932,0.9974900153734032,1.0064661459387225,3.5016216728780463,0.9996487494140813
Experiment 5,0.7883376238665147,71.71667992818524,8650.600211336805,0.07804926236114684,0.9899187205445156,2.2853982520441174,13.181074686591346,0.99848100631136,0.9973021241221495,0.7981810329780811,2.713391736508495,0.999687307369045,0.9962907037472027,1.3182564361443305,9.489098196538738,0.9989064715424085
Experiment 6,0.7839754616877588,68.27642033143923,7613.701118242715,0.14295468243473342,0.9943608318372061,1.3158744591337328,5.008337800788364,0.9994555041354901,0.9985492272909572,0.6723138484748368,0.9629337904878063,0.9998953118803937,0.9949028035531285,1.402776718908028,6.248900659747016,0.9993206327723282
Experiment 7,0.7949759975726042,67.34853179919342,7542.178523854128,0.13356773786950515,0.9955484998321464,1.2668186294111166,4.068700298733635,0.999595557572279,0.9979290159637402,0.823544469344097,1.7890794510452006,0.999822159514479,0.9964777988016786,1.196492085444678,5.825335492059058,0.999420942154567
Experiment 8,0.7839990069633249,68.67555912759802,7615.074544134894,0.06893382036498608,0.9924642071555829,1.6356126385316383,10.964673757088443,0.9988207603661198,0.9987625533963277,0.6307006600355913,2.348626201377845,0.9997474076143812,0.9967816978064187,1.0523212628571574,5.744751808983987,0.9993821577212382
Experiment 9,0.7842828705532489,68.77975033153703,7877.294934026463,0.17387228944400523,0.9950473560090473,1.7673286805736326,8.096159919350534,0.9992240669348404,0.997387504773316,1.188666517873922,3.2821320260261824,0.9996854416428799,0.995086884323832,1.6352171921674168,9.727233075502353,0.9990677454681007
Experiment 10,0.7896063106205841,70.19941416622335,8115.0990835155935,0.12159612411301479,0.9937855300062981,1.7198369816139911,11.924747010512874,0.9989274686618526,0.997941344579443,0.8421327742757029,2.3885275316839456,0.9997851719095172,0.9967113282994827,1.3767194853904023,8.975117304291885,0.9991927632037882
