Name,Mean,Standard Deviation,Min,Max,Median,Missing Percentage,Description
Mean,633.0786785012235,2182.73226229314,0.008273512592772843,11502.999104022792,2.4501702123276545,0.0,
Standard Deviation,297.070390057827,973.7313941478725,0.09058455036361814,4232.229210545899,0.9988602390624827,0.0,
Min,50.30348823916467,261.9178411300593,-687.9199137304743,1121.83,0.0,0.0,
Max,1548.3838136536688,5076.735606022306,1.0,23802.951062506712,5.0,0.0,
Median,561.4026393658575,2042.7820565146997,0.0,11287.17,2.0,0.0,
Missing Percentage,22.10783376496967,32.91536846481332,0.0,88.63608711522083,0.0,0.0,
