,Cox,LSTM,RNN,BiLSTM
C-Index,0.7876061326184218,0.9982433709813412,0.9954713084781635,0.9983678443804752
MAE,69.60385596496901,0.7702876739841125,1.2448712513094398,0.7487004764301828
MSE,7970.979001241629,1.3756578502665509,3.248554362326768,1.5862576300966293
R2,0.10683400577876974,0.9998636616350609,0.9996738768507722,0.9998390535016212
