,C-Index,MAE,MSE,R2
Cox,0.7876061326184217,69.60385596496903,7970.979001241629,0.10683400577876974
LSTM,0.9976416162241766,0.8575878339199633,5.519023859806706,0.9994394459347257
RNN,0.9931574374965292,1.7031019594460244,9.367236001740002,0.9990447883633058
BiLSTM,0.9962088672065056,1.249549397561634,7.769469820650384,0.9992123571131668
